Partlist,,
,,
Exported from rascsi_DIPxxxx.sch,,
,,
EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.,
,,
Assembly variant: ,,
,,
Part     Value             Device            Package                    Library        Sheet,,
,,
ACT                        LED3MM            LED3MM                     led            1,,
C1          0.1uF      C-EUC0603K        C0603K                     rcl            1,,
C2          0.1uF      C-EUC0603K        C0603K                     rcl            1,,
C3          0.1uF      C-EUC0603K        C0603K                     rcl            1,,
C4          0.1uF      C-EUC0603K        C0603K                     rcl            1,,
C5         100uF          CPOL-EUE2                       ,5-6E    E2,5-6E                    rcl            1
D1       1N4007            1N4004            DO41-10                    diode          1,,
ENB                        LED3MM            LED3MM                     led            1,,
EXT_LED2                   PINHD-1X3         1X03                       pinheadMOD     1,,
F1             1A         ERBRE1R00V        F0603                                       1,,
IC1      SN74LS641N        SN74LS641N        DIP794W53P254L2540H508Q20N,,
IC2      SN74LS641N        SN74LS641N        DIP794W53P254L2540H508Q20N,,
IC3      SN74LS641N        SN74LS641N        DIP794W53P254L2540H508Q20N,,
IC4      SN74LS641N        SN74LS641N        DIP794W53P254L2540H508Q20N,,
IC5      74LVC1G04GV-Q100H 74LVC1G04GV-Q100H SOT95P275X110-5N      1,,
INT_LED                    PINHD-1X1         1X01                       pinheadMOD     1,,
POWER    770846-1          770846-1          7708461                    SamacSys_Parts 1,,
PWR                        LED3MM            LED3MM                     led            1,,
RASPI                      PINHD-2X20        2X20                       pinheadMOD     1,,
RI1                        R-US_M0805        M0805                      rcl            1,,
RI2                        R-US_M0805        M0805                      rcl            1,,
RI3                        R-US_M0805        M0805                      rcl            1,,
RN1        10k          PINHD-1X10        1X10                       pinheadMOD     1,,
RN2        10k          PINHD-1X10        1X10                       pinheadMOD     1,,
RN3    220/330      PINHD-1X11        1X11                       pinheadMOD     1,,
RN4    220/330      PINHD-1X11        1X11                       pinheadMOD     1,,
SCSI                       ML50L             ML50L                      con-ml         1,,
